state_name,state_abbrev,population,region
Alabama,AL,4903185,south
Alaska,AK,731545,pacific
Arizona,AZ,7278717,west
Arkansas,AR,3017804,south
California,CA,39512223,west
Colorado,CO,5758736,west
Connecticut,CT,3565287,northeast
Delaware,DE,973764,south
District of Columbia,DC,705749,south
Florida,FL,21477737,south
Georgia,GA,10617423,south
Hawaii,HI,1415872,pacific
Idaho,ID,1787065,west
Illinois,IL,12671821,midwest
Indiana,IN,6732219,midwest
Iowa,IA,3155070,midwest
Kansas,KS,2913314,midwest
Kentucky,KY,4467673,south
Louisiana,LA,4648794,south
Maine,ME,1344212,northeast
Maryland,MD,6045680,south
Massachusetts,MA,6892503,northeast
Michigan,MI,9986857,midwest
Minnesota,MN,5639632,midwest
Mississippi,MS,2976149,south
Missouri,MO,6137428,midwest
Montana,MT,1068778,west
Nebraska,NE,1934408,midwest
Nevada,NV,3080156,west
New Hampshire,NH,1359711,northeast
New Jersey,NJ,8882190,northeast
New Mexico,NM,2096829,west
New York,NY,19453561,northeast
North Carolina,NC,10488084,south
North Dakota,ND,762062,midwest
Ohio,OH,11689100,midwest
Oklahoma,OK,3956971,south
Oregon,OR,4217737,west
Pennsylvania,PA,12801989,northeast
Rhode Island,RI,1059361,northeast
South Carolina,SC,5148714,south
South Dakota,SD,884659,midwest
Tennessee,TN,6829174,south
Texas,TX,28995881,south
Utah,UT,3205958,west
Vermont,VT,623989,northeast
Virginia,VA,8535519,south
Washington,WA,7614893,west
West Virginia,WV,1792147,south
Wisconsin,WI,5822434,midwest
Wyoming,WY,578759,westx
